rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
0.0042,0.007,-6.1538,0.0,0.1,,,,,,,
0.0014,0.0017,-6.1571,0.0,0.1,,,,,,,
0.0049,0.0052,-6.1852,0.0,0.1,,,,,,,
0.0016,0.0027,-6.1893,0.0,0.1,,,,,,,
0.0016,0.0031,-6.1899,0.0,0.1,,,,,,,
,,,,,67533,3645,144000,6.0,7.0,1283,21.0922
0.339,0.339,-6.1987,0.0004,0.1,,,,,,,
0.0046,0.0032,-6.1145,0.0,0.1,,,,,,,
0.0069,0.0045,-6.1268,0.0,0.1,,,,,,,
0.0048,0.0043,-6.1386,0.0,0.1,,,,,,,
0.002,0.0015,-6.1899,0.0,0.1,,,,,,,
0.0624,0.0557,-6.2982,0.0,0.1,,,,,,,
0.0167,0.0115,-6.3121,0.0,0.1,,,,,,,
0.0017,0.002,-6.2253,0.0,0.1,,,,,,,
0.0016,0.0027,-6.1819,0.0,0.1,,,,,,,
0.0045,0.0061,-6.1866,0.0,0.1,,,,,,,
0.0011,0.0029,-6.2036,0.0,0.1,,,,,,,
0.004,0.0049,-6.2556,0.0,0.1,,,,,,,
0.0031,0.0053,-6.233,0.0,0.1,,,,,,,
0.002,0.0013,-6.2898,0.0,0.1,,,,,,,
0.0052,0.0049,-6.2684,0.0,0.1,,,,,,,
,,,,,70158,4020,159000,6.0,7.0,1408,20.9727
0.0014,0.004,-6.317,0.0,0.1,,,,,,,
0.0054,0.0043,-6.2313,0.0,0.1,,,,,,,
0.0022,0.0021,-6.3247,0.0,0.1,,,,,,,
0.0043,0.0062,-6.2802,0.0,0.1,,,,,,,
0.001,0.001,-6.3164,0.0,0.1,,,,,,,
0.0024,0.0047,-6.3088,0.0,0.1,,,,,,,
0.0034,0.0061,-6.3189,0.0,0.1,,,,,,,
0.0023,0.0027,-6.2876,0.0,0.1,,,,,,,
0.0041,0.0035,-6.2857,0.0,0.1,,,,,,,
0.0013,0.0008,-6.2974,0.0,0.1,,,,,,,
0.0042,0.0071,-6.3173,0.0,0.1,,,,,,,
0.0014,0.0017,-6.2977,0.0,0.1,,,,,,,
0.0043,0.0053,-6.3295,0.0,0.1,,,,,,,
0.004,0.0033,-6.3342,0.0,0.1,,,,,,,
,,,,,72608,4370,173000,6.0,7.0,1526,20.6495
0.0016,0.0045,-6.2489,0.0,0.1,,,,,,,
0.0027,0.0014,-6.342,0.0,0.1,,,,,,,
0.0042,0.0026,-6.3443,0.0,0.1,,,,,,,
0.0009,0.0057,-6.3965,0.0,0.1,,,,,,,
0.0037,0.0039,-6.345,0.0,0.1,,,,,,,
0.001,0.0011,-6.4109,0.0,0.1,,,,,,,
0.0056,0.006,-6.3996,0.0,0.1,,,,,,,
0.001,0.0008,-6.4728,0.0,0.1,,,,,,,
0.0047,0.0057,-6.3915,0.0,0.1,,,,,,,
0.002,0.0035,-6.424,0.0,0.1,,,,,,,
0.005,0.0067,-6.3944,0.0,0.1,,,,,,,
0.0014,0.0028,-6.4217,0.0,0.1,,,,,,,
0.0023,0.003,-6.4132,0.0,0.1,,,,,,,
0.0037,0.0022,-6.4107,0.0,0.1,,,,,,,
,,,,,75058,4720,187000,6.0,7.0,1646,20.5361
0.0032,0.0072,-6.4524,0.0,0.1,,,,,,,
0.0021,0.001,-6.3943,0.0,0.1,,,,,,,
0.0039,0.0049,-6.3982,0.0,0.1,,,,,,,
0.0023,0.0035,-6.4449,0.0,0.1,,,,,,,
0.0034,0.0021,-6.49,0.0,0.1,,,,,,,
0.0025,0.0044,-6.4118,0.0,0.1,,,,,,,
0.0036,0.0019,-6.4136,0.0,0.1,,,,,,,
0.0013,0.0021,-6.4368,0.0,0.1,,,,,,,
0.0041,0.0052,-6.4231,0.0,0.1,,,,,,,
0.0025,0.0046,-6.383,0.0,0.1,,,,,,,
0.0035,0.0041,-6.4595,0.0,0.1,,,,,,,
0.001,0.0012,-6.4235,0.0,0.1,,,,,,,
0.0053,0.0038,-6.4723,0.0,0.1,,,,,,,
0.0015,0.0054,-6.4669,0.0,0.1,,,,,,,
,,,,,77508,5070,201000,6.0,7.0,1764,20.6484
